Star,Main ID,TIC,Diam,Err,Reference,Instrument,SpT,numax (muHz),numax error (muHz),dnu (muHz),dnu error (muHz),seismic angular diameter (mas),seismic angular diameter error (mas),Ratio,Ratio error
HD 20559,95 Cet,279049424,1.28,0.012,Rains et al. 2020,VLTI,G9IV,53.185981281340176,0.5425710126681972,5.553881583329376,0.19216056698665626,1.341021832935619,0.11586008595716996,1.0476733069809523,0.08690402397435168
HD 127243,24 Boo,441712711,0.971,0.007,Karovicova et al. 2020,PAVO,G4III-IVFe-1,25.96883566616675,1.552477958494607,2.7364122619125726,0.3104955916989211,1.8539469392834806,0.4549615263160386,1.9093171362342747,0.24550745582579808
HD 177389,HD 177389,382276084,1.117,0.015,Rains et al. 2020,VLTI,K0IV,285.29834003961366,2.9218032515396803,18.95783693724123,0.1693798986399823,1.1062837390428975,0.03450760278674752,0.9904062122138741,0.033960224428485744
HD 181597,HD 181597,416282724,0.901,0.016,unpublished smear,PAVO,K1III,24.40921712422393,1.9046926031768083,2.7843318551242566,0.31744876719613496,1.1460958906100642,0.28460849935854104,1.2720265156604487,0.2489628286766694
HD 185264,HD 185264,27006649,0.797,0.016,unpublished,PAVO,G9III,33.830167941925,2.53957883762608,3.2645478020079737,0.31744735470326024,0.9898395449980787,0.2159529431116185,1.2419567691318427,0.2190913311563501
HD 185955,HD 185955,271353707,0.668,0.011,unpublished,PAVO,G9II-III,83.7191911866933,4.602999359286051,6.228884187195388,0.6348964633498015,0.7870982210394378,0.1731706805877214,1.1782907500590385,0.2206269153019619
