Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),TIC numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,Comments
HD 5448,mu. And,432698066,17,,,,00 56 45.220, +38 29 57.81,A5V,3.857,3.652,3.636,0.708,0.013,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Definitely has oscillations of some kind.
HD 6210,HD 6210,52264484,"18, 24",,,183.91050657466195,01 04 19.452, +61 34 48.76,F6V,5.835,4.794,4.445,0.52,0.006,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Nothing of note.
HD 6497,HD 6497,252183048,"17, 18",,,35.62371324051056,01 07 00.1744,+56 56 05.895,K2III-IV,6.401000022888184,3.992000102996826,3.88100004196167,0.731,0.044,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Potential oscillations at 40 uHz.
HD 6582,mu. Cas,252191219,"17, 18",,,8362.143526503563,01 08 16.395, +54 55 13.23,G5V,5.157,3.597,3.505,0.972,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Very messy light curve. Nothing of note.
HD 6582,mu. Cas,252191219,"17, 18",,,8362.143526503563,01 08 16.395, +54 55 13.23,G5V,5.170000076293945,3.5999999046325684,3.5,0.973,0.009000000000000001,"Boyajian et al. 2008, ApJ, 683, 424",CLASSIC,False,Very messy light curve. Nothing of note.
HD 7924,HD 7924,468723402,"18, 19",,,6304.357119055483,01 21 59.1132,+76 42 37.037,K0.5V,7.166999816894531,5.230999946594238,5.1589999198913565,0.433,0.014,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,Irregular light curve otherwise nothing of note.
HD 9826,ups And,189576919,17,1.0,1336.345,1351.1589382201228,01 36 47.846, +41 24 20.10,F8V,4.099999904632568,2.9570000171661377,2.859999895095825,1.114,0.009000000000000001,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 9826,ups And,189576919,17,1.0,1336.345,1351.1589382201228,01 36 47.846, +41 24 20.10,F8V,4.093,2.957,2.859,1.161,0.027000000000000003,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,ATL estimate seems off.
HD 9826,ups And,189576919,17,1.0,1336.345,1351.1589382201228,01 36 47.846, +41 24 20.10,F8V,4.099999904632568,2.9570000171661377,2.859999895095825,1.18,0.01,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,ATL estimate seems off.
HD 10476,107 Psc,113710966,17,,,5657.026609908622,01 42 29.778, +20 16 07.36,K1V,5.235,3.391,3.285,1.0,0.004,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Nothing of note.
