Star,TIC,Sectors,Pmix,numax (microHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 186408,27533341,"14, 15",0.6940000057220459,2053.002,19 41 48.965, +50 31 30.54,G2V,5.949,4.724,4.426,0.5539999999999999,0.011,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 186408,27533341,"14, 15",0.6940000057220459,2053.002,19 41 48.965, +50 31 30.54,G2V,5.949,4.724,4.426,0.539,0.006999999999999999,White et al. 2013,PAVO
HD 186427,27533327,"14, 15",0.6940000057220459,2053.002,19 41 51.984, +50 31 03.28,G5V,6.199,4.695,4.651,0.513,0.012,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 186427,27533327,"14, 15",0.6940000057220459,2053.002,19 41 51.984, +50 31 03.28,G5V,6.199,4.695,4.651,0.49,0.006,White et al. 2013,PAVO
HD 209369,366412503,"17, 18, 19, 24, 25",1.0,659.772,21 59 14.951, +73 10 47.64,F5V,5.034,4.027,3.96,0.621,0.018000000000000002,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 219080,252756054,"16, 17",0.5260000228881836,1432.665,23 12 32.992, +49 24 22.27,F0V,4.53,3.76,3.791,0.648,0.008,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 219623,24467943,"16, 17",0.6980000138282776,2050.547,23 16 42.289, +53 12 48.92,F7V,5.577000000000001,4.599,4.306,0.542,0.016,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 9826,189576919,17,1.0,1336.345,,,,,,,1.114,0.009000000000000001,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 10697,456905162,17,0.9990000128746033,915.421,,,,,,,0.485,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 11964,24978373,"3, 30, 30",1.0,766.246,,,,,,,0.611,0.081,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
