HD,SpType
38951,F8 V              
38952,A0 V(M)           
38953,A1 V             
38954,G3/5 V           
38955,F3 V             
38956,F6 V            
38957,F5 IV/V         
38966,F3 V              
38967,F3 V              
38968,A2/3              
38969,A0 V              
38970,K3 III            
38971,K1 IV             
38972,F6 V             
38973,G2 V            
38974,B8 V            
38975,F6/8 (V)        
38984,F6/7 V            
38985,F6 V              
38986,K0 III            
38987,A7/8 III          
38988,G3/5 (III)       
38989,M3 III           
38990,G8 III/IV        
38991,A4/5 V           
38992,F0 IV           
38993,K3/4 (III)      
38994,F7/G0 V         
39000,B8 V              
39001,F3/5 V            
39002,G8/K0 IV          
39008,K2 III            
39009,F6/7 V            
39010,F0 V              
39011,K2/3 III          
39012,G6 V             
39013,F0/2 III/IV     
39014,A7 V            
39015,F0 V            
39016,K0 IV           
39022,K0 III            
39023,F0 V              
39024,G8 V              
39025,K2 III            
39026,G1 V              
39027,K3 III            
39028,G6 III           
39033,A1 IV/V           
39034,B9.5 V            
39035,A1 V              
39036,G8/K0 IIICNII     
39037,K0 III            
39038,F5 V              
39039,G8 III            
39040,K1 III           
39041,K2 III           
39042,F2/3 V           
39051,K3 III            
39052,A9/F0 V           
39053,K0 III            
39054,K0 III            
39055,A1/2 IV/V         
39056,G3 V              
39057,F5 V              
39058,G8/K1 (III)      
39059,A1/2 V           
39060,A5 V             
39061,F3 V            
39062,K2 IIICNII      
39067,A2 V              
39068,G8/K0 III         
39069,A1 V              
39070,G8 III            
39071,K1/2 V            
39072,A2 III/IV         
39073,F7 V             
39074,F8 V            
39082,Ap EuCrSr         
39083,F3/5 V            
39084,G6/8 IV           
39085,A9 V              
39086,G8 III            
39087,F5 V              
39088,G8 (III)         
39089,G(8) (III)       
39090,F6 V             
39091,G1 V            
39102,K4/5 III          
39103,B9 IV             
39104,G8/K0 III         
39105,G8 IV             
39106,F6 V              
39107,F0 V              
39108,K0 III            
39109,B9 V              
39110,K3 III          
39111,A7 V            
39112,F5 IV/V         
39118,K1 III            
39119,A0/1              
39120,A2 IV             
39121,A2/3 V            
39122,G8 III            
39123,F5 V              
39124,K0 III            
39125,K3 III/V          
39126,K0 V              
39127,A3 IV/VS         
39128,G8 IV            
39129,B9 V            
39130,F6 V            
39131,A7 IV/V         
39132,G0/2 V          
39133,K0 (III)        
39142,K0 III            
39143,F5 V              
39144,G8 III            
39145,K0 (III)          
39146,A2/3 IV           
39147,K1 III            
39148,K4 III            
39149,F8/G0 V          
39150,G5/6 V          
39159,K0/1 (III)        
39160,F6/7  V           
39161,A1 V              
39162,F5 V              
39163,A8/9 III          
39169,K1 III            
39170,A8/9 V            
39171,G8 III/IV         
39172,G8 III            
39173,F3 V              
39174,A5 V              
39175,B9 V              
39176,M1 III            
39177,A1 V             
39178,A2MA5-F0        
39179,F7 V            
39187,A7/8 IV/V         
39188,A2 IV             
39189,A3 V              
39190,A1 V              
39191,K3 III            
39192,F7 V             
39193,A0 V            
39194,G8 V            
39195,G5/8 III        
39196,F6/8 V          
39197,F6 V            
39202,G1 V              
39203,A8 V              
39204,F6 V              
39205,A0/1 IV           
39206,A9 V              
39207,A1 V             
39211,F5/6 V            
39212,F5 IV/V           
39213,K0 V              
39214,F3 V             
39215,A1 VN            
39216,K2 III          
39217,A2 III/IV       
39230,B9 III            
39231,A9 V              
39232,A1MA6-A8          
39233,K0/1 V            
39234,G8 III            
39235,B5 V              
39236,F3 V              
39238,A7 III            
39239,A2 III/IV         
39240,K3 III            
39241,K0 III            
39242,K1 III            
39243,F0 V             
39244,A7 V             
39245,G6 III          
39246,K1/2 (III)      
39247,M5/6            
39248,F2 III          
39253,B9 V              
39254,B9 II/III         
39255,K0 III            
39256,F0 V              
39257,A6 IV             
39258,K1 III            
39259,A3MA7-F0        
39260,F3/5 IV         
39264,K3/4 (III)        
39265,M1 (III)          
39266,G3 V              
39267,F2 V              
39268,G8/K0             
39269,A5 IV           
39278,A1 IV             
39279,K3 III            
39280,G8 III           
39281,K1 III/IV       
39282,A1MA5-F0        
39289,F2 V              
39290,G8/K0 III         
39291,B2 V              
39292,G8 IV             
39293,F2 V              
39294,A1 V              
39295,M2 III            
39296,A9 V              
39297,K1/2 III         
39298,F7 V            
39307,A3 III/IV         
39308,G5 V              
39309,F2/3 V            
39310,F5 V             
39311,G8               
39312,K1 III           
39313,F5/6 V          
39318,F2 IV/V           
39319,B8 II/III         
39320,A0 V              
39321,F0 V              
39322,F2 V              
39323,G8/K0 V           
39324,M3E               
39325,F5 V              
39326,F0/2 V           
39327,F7 V            
39328,F7 V            
39332,K2 III            
39333,F2 V              
39334,F7 V              
39335,A5/8 + K0/2      
39336,G8/K1 (III)     
39337,F5 V            
39338,F2 IV           
39345,A1 IV             
39346,B9.5 V            
39347,A2/3 II           
39348,B9.5 III/IV       
39349,A3 III            
39350,A7/8 V            
39351,K0 III            
39352,G8/K0 (V) + (G)   
39353,AP SI            
39359,F6 V              
39360,A2/3              
39361,K2/3 III          
39362,A0 IV             
39363,K1 III            
39364,G8 III/IV         
39365,A3 III/IV         
39366,A4 II/III         
39367,G1 V              
39368,K4/5 III          
39369,F7 IV/V         
39370,A2MA5-F0        
39371,G0 V            
39376,B8 III            
39377,K2 III            
39378,B9 V              
39379,A9/F0 V           
39380,K2 III            
39381,F3/5 V           
39383,F3 V              
39384,G8 III            
39385,K0 IIICNII        
39386,F3 IV/V           
39387,F3 V              
39388,G8 III            
39389,K0 III          
39399,A2 III/IV         
39400,K1/2 III          
39401,A2 V              
39402,F2/3 V            
39403,F0/2 V            
39404,B8/9 V            
39405,G8 III            
39406,A0/1 V            
39407,K1/2 III        
39418,F0 V              
39419,B8/9 II           
39420,F5/6 V            
39421,A0 V              
39422,K1/2 (III)        
39423,M2 III            
39424,A5 IV             
39425,K1.5 III          
39426,F5 V             
39427,G6 V             
39428,F2 V            
39438,G0 V              
39439,A0 V              
39440,K0 III            
39441,A2 III            
39442,K5 III            
39443,K0 III            
39444,A9 V              
39445,F8 V              
39446,K1 III          
39457,G2/3 V            
39458,F8/G0             
39459,F6 V              
39460,F2 V              
39461,A5 V              
39462,A8 V              
39463,K0 III           
39464,F6 V            
39465,K2/3 III        
39468,K3 III            
39469,A8 (V)            
39470,F3 V              
39471,K0 III            
39472,F0 V             
39473,A4 IV            
39474,F7 V            
39475,M4 III          
39480,G3 V              
39481,A9/F0 V           
39482,G8 V              
39483,F2 V              
39484,A1 V              
39485,K0 III            
39486,F0 V             
39487,K2               
39488,G6 IV            
39489,G0/2 V           
39490,G8 V            
39496,F0 V              
39497,K2 III            
39498,K1 III            
39499,G8/K0 III         
39500,K1 III            
39501,G8 II/III         
39502,A3                
39503,G5 IV/V           
39504,F5 V             
39505,K1/2 III        
39506,K2 (III)        
39511,A2 III            
39512,K4 III            
39513,F5 V              
39514,G8 III            
39515,A9 V              
39516,F7 V              
39517,F0 V              
39518,F3/5 V            
39519,K2 III            
39520,K4 III            
39521,G8 III           
39522,G8/K0 III        
39523,K1 III          
39524,A9 V            
39525,G2/3 IV/V       
39530,F3 IV/V           
39531,A2 V              
39532,A1/2 (IV)         
39533,G8 IV             
39534,G8 III            
39535,F7 V             
39536,K1/2 (III)      
39540,B9 V              
39541,F5/6 V            
39542,F6 V              
39543,K3 III            
39544,G3 V              
39545,K0 III            
39546,F3/5 V           
39547,K0/1 III         
39548,A4 V             
39557,B9 IV/V           
39558,F0 V              
39559,G3 V              
39560,F0 V              
39561,K1 III            
39562,G8 IV             
39563,K0 IV            
39564,A1/2 V           
39565,F0 IV/V         
39566,F6 V            
39567,K2 III          
39572,A1mA5-A9          
39573,M1 (III)          
39574,A2                
39575,AP EUCRSR         
39576,G1 V              
39577,K2 III          
39578,F2 V            
39579,F7 V            
39580,K0 III          
39581,F6 V            
39592,A2/3 II           
39593,F5 V              
39594,F7/8 V            
39595,B9 (IV)           
39596,A9 V              
39597,G3 IV/V           
39598,A4/7 IV/V         
39599,K3 III            
39600,A2 III/IV         
39601,G8 V             
39602,G8/K0 III + (G)  
39603,K1/2 (III)       
39604,K0 III           
39605,K0 III           
39606,K1/2 (III)       
39607,A8 IV           
39608,K5 III          
39609,G8 III          
39614,B9 III            
39615,K3/4 (III)        
39616,F5 V              
39617,B9 V              
39618,F3/5 V            
39619,G8 III            
39620,F5 V              
39621,G8 IV             
39622,F0 V             
39623,M3 (III)         
39624,G8 IV            
39625,F8/G2 (V)        
39626,G1/3 (IV)       
39627,F0 V            
39633,K2 III            
39634,M1 III            
39635,B9 V              
39636,G8 IV/V           
39637,G0 V              
39638,F8 V             
39639,K0 III           
39640,G8 III           
39641,A3MA7-A8        
39646,F2 V              
39647,B9.5 V            
39648,G8 V              
39649,G5 V              
39650,F7/8 V            
39651,K0 IV             
39652,A7/8 V            
39653,G1 V              
39654,M1 III           
39655,F0/2 V           
39656,K3/4 III        
39657,F6 IV/V         
39664,A5 II/III         
39665,A9/F0 V           
39666,A5 III            
39667,F5                
39668,G2 V              
39669,A2 IV             
39670,F0/2 V            
39671,A                
39672,G0               
39673,K1/2 III         
39674,M3 (III)        
39675,F5 V            
39685,K2 III            
39686,G5 V              
39687,F2/3 V            
39688,F8/G0 V           
39689,K0 III            
39690,K1/2 III          
39691,F3 V              
39692,F0 V              
39693,F0 V              
39694,G6/8             
39695,A5 V            
39701,F7 V              
39702,F3 V              
39703,A1 IV             
39704,K3 III            
39705,K3 III            
39706,K0 III            
39707,M3/4 (III)      
39708,K0/1 III        
39715,K3 V              
39716,B3 III            
39717,A0 V              
39718,G6/8 III          
39719,M3/4 III          
39720,K1 III            
39721,F0/2 IV/V       
39722,M2 (III)        
39732,M2 III            
39733,G8 III/IV         
39734,A0 V              
39735,K5 (III)          
39736,A8 III            
39737,F3 V             
39738,A8 IV/V         
39739,A5 III/IV       
39747,F2/3 V            
39748,G8 III            
39749,F6 V              
39750,A1/2 V            
39751,K1 III            
39752,K1 III            
39753,A9 III/IV        
39754,F0 III          
39755,F2 V            
39756,F3/5 IV/V       
39760,A0 IV/V           
39761,K4/5 III          
39762,G8 IV             
39763,A1 V              
39764,B5 V              
39765,F0/2 V            
39766,G2/3 V           
39767,F2/3 (IV)       
39768,G5              
39775,K0 II/III         
39776,F5 V              
39777,B2 III/IV         
39778,G8 II/III        
39779,K1/2 (III)      
39780,B9.5 IV/V       
39786,F7 V              
39787,K2 III            
39788,F3 V              
39789,A3 IV             
39790,K1 (III)          
39791,G2 V              
39792,F0 V              
39793,A1 V              
39794,B9.5 V            
39795,M0/1 (III)       
39796,G8 V (+ F/G)     
39797,G0 V             
39802,K1/2 III          
39803,B8 V              
39804,G5 V              
39805,G2/3 IV/V         
39806,K3 III            
39807,F0 V             
39808,F5 V             
39809,F2 V            
39810,K0 III          
39811,F0/3            
39812,F5              
39817,A0 IV             
39818,G6/8 (III)        
39819,K1 III/IV         
39820,K2/3 (III)        
39821,K2 III            
39822,A2/3 IV/V        
39823,G8 IV            
39832,K0/1 (III) + (G)  
39833,G3 V              
39834,G5 V              
39835,F6 V              
39836,A2 V              
39837,A2mA3-A9          
39838,A2/3 IV           
39839,K2 III            
39840,F2/3 V            
39841,A8/9 V           
39842,F3 V            
39843,A1MA6-F0        
39844,B6 V            
39848,A9 V              
39849,A5 IV             
39850,A0 V              
39851,A1 V              
39852,A1 V              
39853,K4 III            
39854,K0/1 IV           
39855,G6 V              
39856,G0 V              
39857,A0 V              
39858,G5               
39859,G8/K0           
39860,F5 V            
39868,A0 V              
39869,A1 V              
39870,A9/F0 V           
39871,A9 V              
39872,K3 III            
39873,F5 V              
39874,A1 V             
39875,M1 III           
39876,F0 (IV)         
39877,A2 V            
39884,A0 V              
39885,K1/2 III          
39886,G/K + A/F         
39887,G                 
39888,F5 V              
39889,A3(m)F2-F2        
39890,F3/5 V            
39891,F3 V              
39892,K3 (III)         
39893,A7 IV            
39899,F5 V              
39900,F0 V              
39901,K3 III           
39902,A2 V            
39903,A1MA5-A8        
39904,F2 V            
39908,A4 V              
39909,K5/M0 III         
39910,K1 III            
39911,A0/1  IV/V        
39912,A2 Ib/II          
39913,K4 III            
39914,M2 III            
39915,A2MA9-F2          
39916,F5/7 V           
39917,G8 V             
39918,K2/3 III         
39919,K1 IIICNII      
39920,A9 V            
39927,A0 V              
39928,G3 V              
39929,A1 V              
39930,K0 III            
39931,K0 III            
39932,F5 IV             
39933,F5 V             
39934,F6 V             
39935,A0 IV/V          
39936,A3 V            
39937,F7 IV           
39942,A5 IV             
39943,G8 IV             
39944,G1 V              
39945,A5 V              
39946,K1 III            
39952,A1/2 V            
39953,B9 V              
39954,G6 V              
39955,A1/2 V            
39956,A5 IV             
39957,B9.5 III/IV       
39958,K2/3  III         
39959,K0 III            
39960,G1/2 V            
39961,K0 III/IV        
39962,F3 V             
39963,G8 III          
39964,A               
39972,A9 V              
39973,K1 III            
39974,G8/K1 (III)      
39975,K1 III           
39976,G8/K0 III        
39977,A1/2 V          
39978,F7 IV/V         
39979,A6 IV           
39980,K3 III(CNII)    
39981,F8 V            
39986,A2 IV/V           
39987,F3/5 V            
39988,A2/3 III          
39989,A2/3 IV           
39990,A2/3  III         
39991,F0 V              
39992,G6 IV             
39993,K1 (III)          
39994,A0 V              
39995,F7 V              
39996,F3 V              
39997,G0 V             
39998,A1 IV/V          
39999,G8 (III)         
40008,G2 V              
40009,A1mA7-A9          
40010,F2 IV             
40011,B9 III            
40012,A8/9 V            
40013,F3 V              
40014,A1 IV (+ A)       
40015,A3 III            
40016,G8 III            
40017,F7 V              
40018,M0 III          
40023,F5 V              
40024,A5                
40025,A9 V              
40026,G8 (III)          
40027,G8/K0 III         
40028,A0 V              
40029,F2 IV/V           
40030,G0/2 V           
40031,B6 III          
40032,K2 III          
40042,G8 V              
40043,F2 V              
40044,A0 V              
40045,G8 III/IV         
40046,K0 III            
40047,F0 V              
40048,A5 V              
40049,K0 III/IV         
40050,F6/7 V            
40051,K2 III            
40052,A9 V             
40053,G8 V             
40054,F5/6 V           
40058,G6 V              
40059,F8/G0             
40060,G6 III            
40067,A0 V              
40068,B9 V              
40069,A2 III/IV         
40070,A0 II/III         
40071,AP SI             
40072,F3 V              
40073,K2 III            
40074,Ma                
40075,A3/4 V            
40076,F2 IV             
40077,F3 V              
40078,K4/5 III          
40079,K2 III           
40088,A1 III/IV         
40089,K0 III            
40090,A5 V              
40091,M0 III            
40092,A5 IV           
40098,A2/3 V            
40099,K2/3 III          
40100,G3 IV/V           
40101,M3 III            
40102,F0 V              
40103,M0/1             
40104,A9 V             
40105,G8 IV            
40106,K0 III          
40107,K2 (V)          
40116,F7 V              
40117,B9/9.5 IV/V       
40118,A0 V              
40119,A0 V              
40120,K0 III            
40121,A1/2 IV           
40122,F7 V              
40123,F5 IV             
40124,F0 V              
40125,F3 IV/V           
40126,F7 V              
40127,G8/K0 III         
40128,A8 V              
40129,G5 V            
40130,K0 III/IV       
40134,A1 V              
40135,G6/8 III          
40136,F1 V              
40137,F0 V              
40138,A1 V              
40139,A3 IV            
40145,F0 V              
40146,B9 III/IV         
40147,G8 III            
40148,B8/9 II           
40149,G6 III            
40150,F6 V              
40151,K0/1 III          
40152,K1 III            
40153,F0 V              
40154,G3 V             
40155,G8 III           
40156,F5 V            
40157,K2 III          
40167,A5 II             
40168,K0 III            
40169,A0/1 V            
40170,F7 V              
40171,F0 V              
40172,A9 IV/V           
40173,M2 III            
40174,G3 V              
40175,B8 V              
40176,K1 IIICNII        
40177,G8 V              
40178,G8 IV            
40179,F5 IV/V         
40180,A8/F0 (IV)      
40181,A2 V            
40188,A5 IV             
40189,F3 V              
40190,K0 III            
40191,G8 IV             
40192,F3 IV/V           
40193,B8 VN(E)          
40194,G2 V              
40195,B8/9 V            
40196,F3 V              
40197,G8/K0 (III)      
40198,G3/5 (+ A/F)     
40199,G0 V             
40200,B3 III           
40201,A2 V            
40208,B9 (IV)           
40209,A2 V              
40210,B9 V              
40211,K0 III            
40212,F3 V              
40213,K1 III            
40214,G1 V (+ F/G)      
40215,K0 (III) + (G)    
40216,F6 V              
40217,F3 V             
40218,G8/K1 (III)      
40219,F7 V             
40220,F2/3 V           
40221,A3 V            
40222,A2 V            
40223,F8 V            
40224,K2 III          
40231,F3 IV             
40232,A0 V              
40233,G8/K0 IV          
40234,A3 III            
40235,K0 III            
40236,A0 V              
40237,K2 III            
40238,A7 IV             
40244,A9/F0 V           
40245,A2 III/IV         
40246,B9 III/IV         
40247,A9 V              
40248,F2 III            
40249,M2 III            
40250,K1/2 (III)       
40251,K0 III/IV        
40252,A5/7 III        
40259,F0 V              
40260,F0 IV             
40261,B5/7 II           
40262,F2/3              
40263,G2/3 V            
40264,F8/G1             
40265,B9/9.5 V          
40266,F2 V              
40267,B3 II/III         
40268,A2                
40269,F5/7 V            
40270,K5                
40271,G8/K0 IV         
40272,F3/5 V           
40273,F3 V             
40274,A8/9 V          
40275,G8 V            
40276,A3 IV           
40277,AP SRCR(EU) PEC 
40282,K4 III            
40283,A0 V              
40284,G0 V              
40285,A0 V              
40286,G6/8             
40287,A2/5             
40288,F6/7 V           
40289,F2 V             
40290,K2/3 (III)       
40291,K0 III           
40292,A9/F0 IV/V       
40293,G6 V            
40294,G8 IV           
40295,A3 V            
40296,K1/2 III        
40301,M2 III            
40302,F3/5 V            
40303,F2 V              
40304,K4 III            
40305,F3 V             
40306,K1 III + F/G    
40307,K3 V            
40308,A1/2 V          
40309,F7 IV/V         
40318,F3 IV/V           
40319,A0 V              
40320,A5 V             
40321,F2 V            
40322,K0 III          
40335,A1 II             
40336,G8/K1 III + (G/K) 
40337,A0 V(N)           
40338,A7 III/IV         
40339,F0 IV             
40340,K0 III            
40341,A6 V             
40342,K0 IV           
40343,A0 IV/V         
40347,K0 III            
40348,A0 V              
40349,F3 V              
40350,K0 III            
40351,K0 III            
40352,A0                
40353,A1/2 Ib/II        
40354,F2 V              
40355,B8 IV             
40356,F5/6 V            
40357,K1 III            
40358,G8 III            
40359,G8 III            
40360,M1 (III)          
40361,G8 (III)         
40362,K1/2 (III)       
40363,F5 V             
40364,F6 V            
40365,G8/K0 III       
40372,A8 V              
40373,F0 V              
40374,G5 V              
40375,A2 IV             
40376,K2/3 III          
40377,G0 V              
40378,B9/A0 III         
40379,F6 V              
40380,F0 V              
40381,F5 V             
40383,Ap Si             
40384,F6 V              
40385,G3/5(W)           
40386,G1/2 V            
40387,F6 V              
40388,F7 V              
40389,F6 V              
40390,F7 V              
40391,A8/9 V            
40397,F7 V              
40398,B8/9 III          
40399,K1 III            
40400,K1 (III)          
40401,F3 V              
40402,G8/K0 IIICNVP     
40403,G3 IV/V           
40404,G3 V              
40405,A0MA9-F2          
40406,A3 IVS           
40407,F0 V            
40408,A8 IV/V         
40409,K1 III/IV       
40410,A8 III          
40414,G3/5 V            
40415,F6 V              
40416,A8 V              
40417,A9 V              
40418,K0 III            
40419,F3 V              
40420,G6 IV             
40429,B9 V              
40430,G8 II             
40431,G2/3 V            
40432,F2 V              
40433,A6 IV             
40434,K0 III          
40435,B9.5 V          
40436,F5 V            
40437,M0 III          
40445,G8 III            
40446,A0 V              
40447,B9 IV             
40448,F0/2 V            
40449,A7/8 V            
40450,G8 IV             
40451,K2 III            
40452,F0 IV             
40453,A1/2 IV           
40454,F5 III/IV       
40455,F0 III          
40464,B9.5 V            
40465,A9 V              
40466,K1 III            
40467,F0 V             
40468,F3 V            
40472,M3 III            
40473,A2mF0-F2          
40474,A9 V              
40475,A2 II             
40476,A0/1 V            
40477,K2 III            
40478,K1 (III)          
40479,K5/M0 III         
40480,G8 III            
40481,F(3) V            
40482,M1               
40483,F6 V             
40484,K2 III          
40485,F6 IV/V         
40492,G8 IV             
40493,K3 (III)          
40494,B2.5 IV           
40495,K2                
40496,A8/9(M) + K III  
40499,A8/9 V            
40500,A1 III/IV         
40501,F3 IV/V + A/F     
40502,A9 V              
40503,K2/3 V            
40504,G6 V             
40505,F2 V             
40506,A3/4 III         
40507,F7 V            
40508,K0 III          
40511,A0 V              
40512,F5 V              
40513,G8 III            
40514,A9 III            
40515,A8 V              
40516,K0 III/IV         
40517,B7/8 V            
40518,K1 III + F/G      
40519,A3 V              
40520,F0 V              
40521,F2 V              
40522,K4 III            
40523,F2 V              
40524,F5 V             
40525,K0 III          
40526,F6 V            
40527,F5 IV           
40528,A8 IV/V         
40534,B9 V              
40535,F2/3 IV           
40536,A3 III            
40537,K0 V              
40538,G8 III            
40539,G3 V              
40540,A8 IV(M)          
40541,G8/K0 III        
40542,K4 III           
40543,G3 V            
40547,B9.5 V            
40548,F2 V              
40549,F6/8 V            
40550,F6 V              
40551,G8 IV             
40552,K0 III            
40553,A9 V              
40554,G8 III/IV         
40555,G8/K0 III         
40556,B2/3 V           
40557,B9 V             
40558,F3 V             
40559,A0 V            
40560,K1 III          
40563,A0mA3/5-A9        
40564,G6/8 III          
40565,K1 III/IV         
40566,F0 III/IV       
40572,F5/6 V            
40573,B9.5 V            
40574,B8 II             
40575,B9 V              
40576,F0 V              
40577,F0 V              
40578,F5/6 V            
40579,G8/K0 (IV)        
40580,F3 V              
40581,A0 V              
40582,A8/9 V            
40583,G2/3 V            
40584,A1/3 V           
40585,A7 III           
40590,F6/7  V           
40591,B9 IV/V           
40592,K5                
40593,K3/4 III          
40594,K3                
40595,A7 V             
40596,G8/K0 III/IV    
40597,K2/3 III        
40603,A3 V              
40604,A8 III/IV         
40605,K4 III            
40606,A3 III            
40607,A4 V              
40608,G2 V              
40609,K3 (III)          
40610,F5 IV/V           
40611,A8/9 V            
40612,F5 V              
40613,K0 III           
40614,A9/F0 V         
40616,G3 V              
40617,A8/9 V            
40618,K3 III            
40619,F5 V              
40620,G3 V              
40621,A2 III/IV         
40622,F2 V              
40623,M2 III           
40624,A0 V            
40625,F7/G0 IV/V      
40634,G5 V              
40635,B9 IV             
40636,K0 III            
40637,K3 III            
40638,K0 III            
40639,A2 IV             
40640,A0 V              
40641,F0 V              
40642,F0 IV/V           
40643,K1 III          
40644,M1 III          
40645,F2 IV/V         
40646,A3 V            
40656,F8 V              
40657,K1 IV             
40658,A5 III            
40659,F6 V              
40660,A2MA8-F0/2        
40661,A2 III/IV         
40662,F6 V              
40663,G6/8 V           
40664,M1/2 III         
40665,K5/M0 III       
40666,F2 V            
40670,K1 IV             
40671,K4 III            
40672,K2 III            
40673,F3 V              
40674,A4/5 V          
40686,B9.5 V            
40687,A1 IV/V           
40688,K1/2 III          
40689,F5 V              
40690,F8/G0 V           
40691,G5 V             
40692,F7 V            
40693,F5 V            
40701,K3 (III)          
40702,F6 V              
40703,K2 (III)          
40704,A7 V              
40705,G3 V              
40706,K3                
40707,M4/5 III        
40712,A0 V              
40713,A9 V              
40714,A2 IV             
40715,A3 V              
40716,A2 IV             
40717,F5/6 V            
40718,K0 IIICNVP        
40719,A6 V              
40720,K0 III            
40726,G3 V              
40727,A5 II/III         
40728,B8 V              
40729,F7 V              
40730,A6 III            
40731,A9 V              
40732,F0 V              
40733,G8 II            
40734,A5 IV/V          
40735,G8/K0 III        
40736,K0/1 (III)      
40742,A8 V              
40743,A1/2 V            
40744,K1 III            
40745,F2 IV             
40746,A0 V              
40747,A7 III(M)         
40748,A3/5 IV/V        
40749,K1 III          
40750,A0 V            
40758,A0/1 V            
40759,Ap EuCr(Sr)       
40760,K0 III            
40761,B9 IV             
40762,G8/K0 IV          
40763,K2 III            
40764,B9.5 IV           
40765,AP SRCREU         
40766,A0 V              
40767,G8 V             
40768,K2 III          
40769,K5              
40775,B9 V              
40776,F7 V              
40777,K3 (III)          
40778,K0/1 III          
40779,F3 V              
40780,A1 IV             
40781,F7 V              
40792,A1 (V) + K0/1 III 
40793,F7/G0             
40794,A9/F0 V           
40795,F6 (V)            
40796,A0 IV             
40797,M4/6             
40798,F7 II            
40799,G3 V            
40805,K2/3 III          
40806,K0 III            
40807,G8 IV            
40808,G8/K1 II         
40809,F8 V            
40810,K2 III          
40811,F3 V            
40814,A0 V              
40815,K0 III            
40816,F6 V              
40817,G8 III/IV         
40818,G5/6  IV          
40819,G8/K0 IV          
40820,F7 V              
40821,K0 III            
40822,K0/1 III          
40823,A5/7 IV           
40824,K0 III            
40825,G5 IV             
40826,A6 V             
40836,B5 II/III         
40837,B9.5 V            
40838,G2/3 V            
40839,G8/K0 III         
40840,K1/2 III          
40841,A0 V              
40842,F3 V              
40843,F2 IV/V          
40844,A3 III/IV        
40845,K2/3 III        
40846,G0/2 V          
40851,K2 (III)          
40852,F3 V              
40853,A9 V              
40854,K0/1 III          
40855,A0 V             
40856,G0/3 IV/V       
40857,Md              
40864,A5/7 II           
40865,G5 V              
40866,K1 III            
40867,F0 V             
40868,G8/K0 III        
40869,FM DELTA DEL     
40870,G8/K0 III       
40871,K1/2 (III)      
40876,A2 II/III         
40877,G8 IV             
40878,B8 III            
40879,A2 V              
40880,G6 V              
40881,F8/G0 V           
40882,A3 V              
40883,B9 V              
40884,A8/9 V            
40885,K0 III            
40886,AP SREU(CR)       
40887,K3/4 V            
40888,F6 V              
40889,G0 V             
40890,F6/7 V          
40900,A3 V              
40901,K0 III            
40902,F7 V              
40903,B9 V              
40904,F0 V              
40905,K0 III            
40906,F6 V              
40907,G3 V              
40908,M3/4 (III)        
40909,B8 V             
40913,M6 III            
40914,A5 IV             
40915,A4 V              
40916,F8 V              
40917,K1 III            
40918,F7/8 V           
40919,F3/5 V           
40920,K                
40921,K                
40922,G8 (III)         
40923,F3 V            
40924,K2 III(CNII/III)
40925,A0 V            
40933,G8 III/IV         
40934,A2/3 V            
40935,A0 V              
40936,F5 V              
40937,K0/1 III          
40938,A1 V              
40939,K1 III            
40940,F2 V             
40941,F6 V            
40948,A1 V              
40949,G8 III/IVP        
40950,K0 III            
40951,F7 V              
40952,F5 V             
40953,B9 V            
40964,B8 V              
40965,K2 III            
40966,B8 II             
40967,B5 III/V          
40968,A7 V              
40969,K1 III            
40970,K0 III            
40971,A0 V              
40972,A0 V              
40973,F3 V              
40974,A7/9              
40975,A0               
40976,F0 IV/V          
40977,G0 IV/V         
40983,B9.5 V            
40984,A3 V              
40985,K4/5  III         
40986,B9 V              
40987,F2/3  V           
40988,A0 V              
40989,A2/3 IV           
40990,K1 III            
40991,F2 V             
40992,G8/K0 III       
40993,M1 III          
40994,A7/8 IV/V       
40997,G8 III            
40998,Ap Si             
40999,F0 V              
41000,F5 V              
41001,F6/7 V           
41002,A7 V             
41003,K0 III           
41004,K1 V             
41005,F5 V            
41006,K0 IV           
41007,K2 III          
41013,A0 V              
41014,G6/8              
41015,F6 V              
41016,K0 III            
41017,G8/K0 III/IV      
41018,A9 V              
41019,G0 V              
41020,K3/4 (III)       
41021,K(2) (III)       
41022,F6/7 V           
41023,K0 III          
41024,K0 III          
41025,G0 V            
41029,K0 III            
41030,A0 V              
41031,K0/1 III          
41032,F7 V              
41033,F6 V              
41034,G6/8 III          
41035,K4/5 III          
41036,F5 V              
41037,B3 V            
41038,K0/2            
41044,F3/5 V            
41045,F8 V              
41046,A9 V              
41047,K5 III            
41048,G6 III          
41049,K0 III          
41050,G5/8 III        
41051,K1/2 (III)      
41059,A1 V              
41060,B9.5 V            
41061,A0 V + K0 III     
41062,F5 V              
41063,F0 V              
41064,F7 V              
41065,K0 III            
41066,FM DELTA DEL      
41067,K0 III            
41068,F6 V              
41069,B9.5 V            
41070,G8 III/IV         
41071,G8 V             
41072,G0 IV/V         
41081,K1/2 III          
41082,F3/5 (V)          
41083,G2/3 V            
41084,A1MA8-F0/2        
41085,A0 V              
41086,A3MA8-A9          
41087,G6 V              
41088,G2/3 (V)         
41089,B9 III(P SREUCR) 
41090,F2 V             
41091,G8/K0 III        
41092,A8 III          
41093,F8WF5           
41094,K0 II/III       
41095,K0/2            
41105,K3 III            
41106,G6 V              
41107,K2                
