Star,RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
GJ 338B,09 14 24.856, +52 41 11.84,M0V,7.701,4.043,4.136,0.856,0.016,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 81937,09 31 31.704, +63 03 42.75,F0IV,3.644,3.025,2.864,1.133,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 82328,09 32 51.518, +51 40 38.47,F6IV,3.171,2.079,1.97,1.632,0.005,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 82885,09 35 39.592, +35 48 36.65,G8IV-V,5.388,3.718,3.69,0.821,0.013,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 86728,10 01 00.726, +31 55 26.22,G1V,5.376,4.04,3.821,0.771,0.012,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
GJ 380,10 11 22.186, +49 27 15.31,K8V,6.598,3.298,2.962,1.225,0.009,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 89449,10 19 44.197, +19 28 15.78,F6IV,4.777,3.944,4.02,0.731,0.03,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 90839,10 30 37.596, +55 58 50.15,F8V,4.818,3.758,3.644,0.794,0.014,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 95418,11 01 50.467, +56 22 56.63,A1V,2.341,2.359,2.285,1.149,0.014,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 95608,11 02 19.805, +20 10 47.29,A1V,4.401,4.324,4.315,0.43,0.017,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
GJ 411,11 03 20.238, +35 58 11.76,M2V,7.52,3.64,3.254,1.432,0.013,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
GJ 412A,11 05 28.578, +43 31 36.39,M1.0V,8.78,5.002,4.769,0.764,0.017,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 97603,11 14 06.510, +20 31 25.82,A4V,2.549,2.191,2.144,1.328,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 97633,11 14 14.425, +15 25 46.66,A2V,3.316,3.19,3.082,0.74,0.024,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 101501,11 41 03.012, +34 12 06.46,G8Vvar,5.302,3.648,3.588,0.91,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 102870,11 50 41.731, +01 45 52.89,F8V,3.589,2.363,2.269,1.431,0.006,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 103095,11 52 58.806, +37 43 06.00,G5,6.426,4.5,4.373,0.696,0.005,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 109358,12 33 44.543, +41 21 27.01,G0V,4.243,2.905,2.848,1.238,0.03,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 114710,13 11 52.387, +27 52 41.19,G0V,4.241,2.992,2.923,1.127,0.011,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 118098,13 34 41.745,-00 35 45.38,A3V,3.368,3.154,3.223,0.852,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
GJ 526,13 45 43.777, +14 53 29.46,M3V,8.487,4.78,4.415,0.835,0.014,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 126660,14 25 11.816, +51 51 02.99,F7V,4.04,2.98,2.739,1.109,0.007,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 128167,14 34 40.810, +29 44 42.29,F3Vwvar,4.467,3.462,3.336,0.841,0.013,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 130948,14 50 15.814, +23 54 42.47,G2V,5.868,4.688,4.458,0.569,0.011,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 131156,14 51 23.380, +19 06 01.70,G8V+K4V,4.663,2.25,1.97,1.196,0.014,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 136202,15 19 18.812, +01 45 55.39,F8III-IV,5.048,3.947,4.008,0.785,0.024,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 140538,15 44 01.827, +02 30 54.86,G5V,5.866,4.045,4.297,0.597,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 141795,15 50 48.959, +04 28 39.94,Am,3.703,3.44,3.425,0.768,0.017,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 142860,15 56 27.202, +15 39 41.31,F6V,3.828,2.875,2.703,1.217,0.005,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 146233,16 15 37.267,-08 22 09.63,G1V,5.486,4.162,4.186,0.78,0.017,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
GJ 631,16 36 21.430,-02 19 28.20,K2V,5.762,4.053,4.039,0.724,0.011,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 154633,17 02 15.724, +64 36 02.52,G5V,6.091,3.848,3.893,0.804,0.012,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 157214,17 20 39.295, +32 28 21.15,G0V,5.381,3.9,3.91,0.725,0.012,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 158633,17 25 00.194, +67 18 24.65,K0V,6.42,4.637,4.515,0.573,0.01,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
GJ 687,17 36 25.945, +68 20 22.01,M3.5Vvar,9.151,4.766,4.548,0.859,0.014,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 161178,17 37 08.885, +72 27 20.92,G9III,5.869,3.766,3.657,0.944,0.043,"Ligi et al. 2016, A&A, 586, A94",VEGA
