Star,RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 137443,,,,,,,1.69,0.031,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 138265,,,,,,,2.062,0.038,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 139357,,,,,,,1.073,0.013,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 150010,,,,,,,1.024,0.029,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 152812,,,,,,,1.44,0.004,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 160290,,,,,,,1.515,0.01,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 170693,,,,,,,2.041,0.043,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 175823,,,,,,,0.988,0.023,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 176408,,,,,,,1.125,0.023,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 186815,,,,,,,0.731,0.02,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 192781,,,,,,,1.859,0.003,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 200205,,,,,,,2.032,0.045,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 214868,,,,,,,2.731,0.024,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 168723,,,,,,,2.944,0.01,"A. Merand, et al., Astronomy and Astrophysics, 517, 64 (2010)",VEGA
HD 146233,,,,,,,0.6759,0.0062,"M. Bazot, et al., Astronomy and Astrophysics, 526, L4 (2011)",PAVO
HD 201601,,,,,,,0.564,0.017,"K. Perraut, et al., Astronomy and Astrophysics, 526, A89 (2011).",VEGA
GJ 581,,,,,,,0.446,0.014,"K. von Braun, et al., The Astrophysical Journal, 729, L26 (2011).",CLASSIC
HD 148293,,,,,,,1.48,0.06,"E.K. Baines, et al., The Astrophysical Journal, 731, 132 (2011).",CLASSIC
HD 181068,,,,,,,0.461,0.011,"A. Derekas, et al., Science, 332, 316 (2011).",PAVO
HD 75732,,,,,,,0.711,0.004,"K. von Braun, et al., The Astrophysical Journal, 740, 49 (2011).",CLASSIC
HD 49933,,,,,,,0.445,0.012,"L. Bigot, et al., Astronomy and Astrophysics, 534, L3 (2011).",VEGA
HD 137759,,,,,,,3.596,0.015,"E.K. Baines, et al., The Astrophysical Journal, 743, 130 (2011).",CLASSIC
HD 203,,,,,,,0.492,0.032,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC
HD 29391,,,,,,,0.518,0.009,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC
GJ 436,,,,,,,0.417,0.013,"K. von Braun, et al., The Astrophysical Journal, 753, 171 (2012).",CLASSIC
HD 221345,,,,,,,1.51,0.02,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA
HD 9826,,,,,,,1.18,0.01,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA
HD 170693,,,,,,,2.12,0.02,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA
HD 185395,,,,,,,0.76,0.003,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA
HD 122563,,,,,,,0.94,0.011,"O.L. Creevey, et al., Astronomy and Astrophysics, 545, 17 (2012).O.L. Creevey, et al., Astronomy and Astrophysics, 545, 17 (2012).",VEGA
HD 103095,,,,,,,0.679,0.007,"O.L. Creevey, et al., Astronomy and Astrophysics, 545, 17 (2012).O.L. Creevey, et al., Astronomy and Astrophysics, 545, 17 (2012).",VEGA
HD 218396,,,,,,,0.342,0.008,"E.K. Baines, et al., The Astrophysical Journal, 761, 57 (2012).",CLASSIC
HD 50890,,,,,,,1.006,0.02,"E.K. Baines, et al., The Astrophysical Journal, 772, 16 (2013).",CLASSIC
HD 176232,,,,,,,0.275,0.009,"K. Perraut, et al., Astronomy and Astrophysics, 559, 21 (2013).",VEGA
HD 115617,,,,,,,1.073,0.005,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 143761,,,,,,,0.735,0.014,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
GJ 176,,,,,,,0.448,0.021,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
GJ 614,,,,,,,0.459,0.017,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
GJ 649,,,,,,,0.484,0.012,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
GJ 876,,,,,,,0.746,0.009,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 1461,,,,,,,0.498,0.011,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 7924,,,,,,,0.433,0.014,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 33564,,,,,,,0.64,0.01,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 107383,,,,,,,1.651,0.016,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 210702,,,,,,,0.886,0.006,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 185351,,,,,,,1.12,0.016,"J. Johnson, et al., The Astrophysical Journal, 794, 15 (2014).",CLASSIC
HD 185351,,,,,,,1.133,0.009,"J. Johnson, et al., The Astrophysical Journal, 794, 15 (2014).",PAVO
HD 1326,,,,,,,1.005,0.005,"A.W. Howard, et al., The Astrophysical Journal, 794, 51 (2014).",CLASSIC
HD 189733,,,,,,,0.3848,0.0055,"T. Boyajian, et al., Monthly Notices of the Royal Astronomical Society, 447, 846 (2015).",PAVO
HD 209458,,,,,,,0.2254,0.0072,"T. Boyajian, et al., Monthly Notices of the Royal Astronomical Society, 447, 846 (2015).",PAVO
HD 69830,,,,,,,0.674,0.014,"A. Tanner, et al., The Astrophysical Journal, 800, 115 (2015).",CLASSIC
HD 140283,,,,,,,0.353,0.013,"O. Creevey, et al., Astronomy and Astrophysics, 575, 26 (2015).",VEGA
HD 117176,,,,,,,0.998,0.005,"S. R. Kane, et al., The Astrophysical Journal, 806, 60 (2015).",CLASSIC
HD 118022,,,,,,,0.346,0.006,"K. Perraut, et al., Astronomy and Astrophysics, 579, 85 (2015).",VEGA
HD 24712,,,,,,,0.335,0.009,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA
HD 2774,,,,,,,1.303,0.023,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 6497,,,,,,,0.731,0.044,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 13982,,,,,,,1.169,0.032,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 31579,,,,,,,1.593,0.008,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 153956,,,,,,,0.983,0.023,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 157681,,,,,,,1.908,0.013,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 184293,,,,,,,1.548,0.022,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 216174,,,,,,,1.598,0.012,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 218029,,,,,,,1.862,0.044,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 164922,,,,,,,0.999,0.017,"B. J. Fulton, et al., The Astrophysical Journal, 830, 46 (2016).",PAVO
GJ 628,,,,,,,0.695,0.018,"S. R. Kane, et al., The Astrophysical Journal, 835, 200 (2017).",CLASSIC
HD 140283,,,,,,,0.324,0.005,"I. Karovicova, et al., Monthly Notices of the Royal Astronomical Society, 475, 81 (2018).",PAVO
HD 122563,,,,,,,0.926,0.011,"I. Karovicova, et al., Monthly Notices of the Royal Astronomical Society, 475, 81 (2018).",PAVO
HD 103095,,,,,,,0.595,0.007,"I. Karovicova, et al., Monthly Notices of the Royal Astronomical Society, 475, 81 (2018).",PAVO
GJ 159,,,,,,,0.582,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC
GJ 393,,,,,,,0.564,0.021,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC
HD 89744,,,,,,,0.556,0.032,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC
GJ 504,,,,,,,0.71,0.02,"M. Bonnefoy, et al., Astronomy and Astrophysics, 618, 63 (2018).",VEGA
HD 4747,,,,,,,0.39,0.006,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)\",PAVO
HD 19467,,,,,,,0.376,0.014,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)",PAVO
HD 113337,,,,,,,0.386,0.009,"S. Borgniet, et al., accepted by Astronomy and Astrophysics (2019).",VEGA
